journal,credit_account,debit_account,donor_id,hub_id,warehouse_id,program_id,commodity_id,commodity_category_id,quantity,operation_id
10,5,4,1,1,13,1,1,2,200,13
10,5,4,1,1,13,1,2,3,500,12
10,5,4,1,1,13,1,2,3,600,13
10,5,4,1,1,13,2,1,2,300,12
10,5,4,1,1,13,2,1,2,100,13
10,5,4,1,1,13,2,2,3,500,12
10,5,4,1,1,13,2,2,3,400,14
10,5,4,1,1,13,2,2,3,200,12
10,5,4,1,1,13,3,1,2,500,14
10,5,4,1,1,13,3,1,2,600,12
10,5,4,1,1,13,3,2,3,300,12
10,5,4,1,1,13,3,2,3,100,14
10,5,4,1,2,12,1,1,2,500,12
10,5,4,1,2,12,1,1,2,400,12
10,5,4,1,2,12,1,2,3,200,14
10,5,4,1,2,12,1,2,3,500,12
10,5,4,1,2,12,1,1,2,600,12
10,5,4,1,2,12,1,2,3,300,15
10,5,4,1,2,12,1,1,2,100,15
10,5,4,1,2,12,2,1,2,500,12
10,5,4,1,2,12,2,2,3,400,12
10,5,4,1,2,12,2,2,3,200,13
10,5,4,1,2,12,2,1,2,500,12
10,5,4,1,2,12,2,2,3,600,14
10,5,4,1,2,12,2,1,2,300,15
10,5,4,1,2,12,2,2,3,100,12
10,5,4,1,2,12,3,1,2,500,15
10,5,4,1,2,12,3,1,2,400,12
10,5,4,1,2,12,3,2,3,200,15
10,5,4,1,2,12,3,2,3,500,12
10,5,4,1,2,12,3,2,3,600,12
10,5,4,1,2,12,3,1,2,300,15
10,5,4,1,2,12,3,2,3,100,14
10,5,4,1,2,12,3,1,2,500,12
10,5,4,1,2,12,3,2,3,400,15
10,5,4,1,3,2,1,1,2,200,14
10,5,4,1,3,2,1,2,3,500,12
10,5,4,1,3,2,1,1,2,600,15
10,5,4,1,3,2,1,2,3,300,12
10,5,4,1,3,2,1,1,2,100,13
10,5,4,1,3,2,2,1,2,500,15
10,5,4,1,3,2,2,2,3,400,13
10,5,4,1,3,2,2,1,2,200,12
10,5,4,1,3,2,2,2,3,500,15
10,5,4,1,3,2,2,1,2,600,12
10,5,4,1,3,2,3,1,2,300,13
10,5,4,1,3,2,3,2,3,100,15
10,5,4,1,3,2,3,2,3,500,12
10,5,4,1,3,2,3,1,2,400,15
